EVENTID,REPORTER,STA,LAT,LON,ELEV,CHN,DIST,BAZ,ISCPHASE,REPPHASE,DATE,TIME,RES,TDEF,AMPLITUDE,PER,AUTHOR,DATE_1,TIME_1,LAT_1,LON_1,DEPTH,AUTHOR_1,TYPE,MAG,Y
603877657,,ISA,35.6628,-118.47399999999999,873.0,BHZ,0.01,321.9,Pg,Pg,2014-01-01,2014-01-01 15:47:18.050,-0.1,True,,,ISC,2014-01-01,15:47:15.99,35.6587,-118.4702,11.7,ANF,ML,3.1,0
603877657,,VES,35.8409,-119.0847,154.0,BHZ,0.53,290.2,Pg,P,2014-01-01,2014-01-01 15:47:26.490,0.1,True,,,ISC,2014-01-01,15:47:15.99,35.6587,-118.4702,11.7,ANF,ML,3.1,0
603877657,,CWC,36.4399,-118.0802,1595.0,BHZ,0.84,22.0,Pg,P,2014-01-01,2014-01-01 15:47:31.430,-0.8,True,,,ISC,2014-01-01,15:47:15.99,35.6587,-118.4702,11.7,ANF,ML,3.1,0
603877657,,EDW2,34.8811,-117.9939,772.0,BHZ,0.87,153.2,Pg,P,2014-01-01,2014-01-01 15:47:32.090,-0.7,True,,,ISC,2014-01-01,15:47:15.99,35.6587,-118.4702,11.7,ANF,ML,3.1,0
603877657,,VOG,36.321,-119.3823,90.0,HHZ,0.99,312.0,Pg,,2014-01-01,2014-01-01 15:47:34.430,-0.7,True,,,ISC,2014-01-01,15:47:15.99,35.6587,-118.4702,11.7,ANF,ML,3.1,0
603877657,,OSI,34.6145,-118.7235,718.0,BHZ,1.06,191.3,Pb,,2014-01-01,2014-01-01 15:47:35.840,-0.5,True,,,ISC,2014-01-01,15:47:15.99,35.6587,-118.4702,11.7,ANF,ML,3.1,0
603877657,,GSC,35.3018,-116.8057,1000.0,BHZ,1.4,104.2,Pn,,2014-01-01,2014-01-01 15:47:40.590,-0.9,True,,,ISC,2014-01-01,15:47:15.99,35.6587,-118.4702,11.7,ANF,ML,3.1,0
603877657,,TIN,37.0542,-118.2301,1197.0,HHZ,1.41,7.9,Pn,,2014-01-01,2014-01-01 15:47:41.880,0.3,True,,,ISC,2014-01-01,15:47:15.99,35.6587,-118.4702,11.7,ANF,ML,3.1,0
603877657,,SBC,34.4417,-119.7133,90.0,BHZ,1.59,220.4,Pb,Pb,2014-01-01,2014-01-01 15:47:45.220,-0.0,True,,,ISC,2014-01-01,15:47:15.99,35.6587,-118.4702,11.7,ANF,ML,3.1,0
603877657,,HEC,34.8294,-116.335,920.0,BHZ,1.93,114.7,Pn,P,2014-01-01,2014-01-01 15:47:48.000,-0.8,True,,,ISC,2014-01-01,15:47:15.99,35.6587,-118.4702,11.7,ANF,ML,3.1,0
603877657,,MLAC,37.6302,-118.8361,2162.0,BHZ,1.99,351.6,Pb,Pb,2014-01-01,2014-01-01 15:47:52.080,-0.2,True,,,ISC,2014-01-01,15:47:15.99,35.6587,-118.4702,11.7,ANF,ML,3.1,0
603877657,,TUQ,35.4358,-115.9239,1350.0,BHZ,2.09,95.4,Pn,Pb,2014-01-01,2014-01-01 15:47:52.500,1.5,True,,,ISC,2014-01-01,15:47:15.99,35.6587,-118.4702,11.7,ANF,ML,3.1,0
603877657,,PFO,33.6117,-116.4594,1259.0,BHZ,2.63,140.4,Pn,P,2014-01-01,2014-01-01 15:47:58.100,-0.3,True,,,ISC,2014-01-01,15:47:15.99,35.6587,-118.4702,11.7,ANF,ML,3.1,0
603877657,,IRM,34.1574,-115.1451,567.0,BHZ,3.12,117.8,Pn,P,2014-01-01,2014-01-01 15:48:04.170,-0.9,True,,,ISC,2014-01-01,15:47:15.99,35.6587,-118.4702,11.7,ANF,ML,3.1,0
603877657,,R11A,38.3489,-115.5854,1756.0,BHZ,3.54,39.8,Pn,Pn,2014-01-01,2014-01-01 15:48:11.630,0.6,True,,,ISC,2014-01-01,15:47:15.99,35.6587,-118.4702,11.7,ANF,ML,3.1,0
603877657,,W13A,35.099000000000004,-113.8854,1988.2,BHZ,3.79,97.2,Pn,,2014-01-01,2014-01-01 15:48:14.260,-0.2,True,,,ISC,2014-01-01,15:47:15.99,35.6587,-118.4702,11.7,ANF,ML,3.1,0
603877657,,Y12C,33.7503,-114.5238,196.0,BHZ,3.77,119.2,Pn,Pn,2014-01-01,2014-01-01 15:48:14.880,0.9,True,,,ISC,2014-01-01,15:47:15.99,35.6587,-118.4702,11.7,ANF,ML,3.1,0
603877657,,U15A,36.428000000000004,-112.2915,2489.0,BHZ,5.07,79.5,Pn,Pn,2014-01-01,2014-01-01 15:48:32.480,0.4,True,,,ISC,2014-01-01,15:47:15.99,35.6587,-118.4702,11.7,ANF,ML,3.1,0
603878125,,I04A,43.7941,-122.4113,731.0,BHZ,3.86,23.9,Pn,P,2014-01-02,2014-01-02 06:24:07.030,0.7,True,,,ISC,2014-01-02,06:23:07.16,40.2808,-124.5722,12.7,IDC,mb,3.5,0
603878125,,VOG,36.321,-119.3823,90.0,BHZ,5.68,132.4,Pn,P,2014-01-02,2014-01-02 06:24:32.240,1.0,True,,,ISC,2014-01-02,06:23:07.16,40.2808,-124.5722,12.7,IDC,mb,3.5,0
603878125,,ISA,35.6628,-118.47399999999999,873.0,BHZ,6.67,131.8,Pn,P,2014-01-02,2014-01-02 06:24:46.420,1.5,True,,,ISC,2014-01-02,06:23:07.16,40.2808,-124.5722,12.7,IDC,mb,3.5,0
603878125,,R11A,38.3489,-115.5854,1756.0,BHZ,7.23,102.6,Pn,P,2014-01-02,2014-01-02 06:24:52.160,-0.6,True,,,ISC,2014-01-02,06:23:07.16,40.2808,-124.5722,12.7,IDC,mb,3.5,0
603878125,,EDW2,34.8811,-117.9939,772.0,BHZ,7.5,133.8,Pn,P,2014-01-02,2014-01-02 06:24:57.440,1.1,True,,,ISC,2014-01-02,06:23:07.16,40.2808,-124.5722,12.7,IDC,mb,3.5,0
